n,per_day,hit_rate,win_rate,mean_pct,median_pct,pl_ratio,front_mean_pct,back_mean_pct,both_halves_positive,spike_mean_pct,spike_median_pct,label,k
431429,317.69,80.539,46.598,-0.1486,-0.26,1.018,-0.2323,-0.0833,False,2.5139,1.8253,atr_pct≥5 & turnover≤8 & range_contract≤0.8,3
941754,693.49,75.844,43.856,-0.1487,-0.26,1.11,-0.2258,-0.1013,False,2.1268,1.4006,breadth≥55 & turnover≥1 & range_contract≤1.2,3
106436,78.38,70.882,39.479,-0.1488,-0.3554,1.232,-0.1917,-0.1196,False,1.4777,0.9488,atr_pct≤2.5 & ma20_bias≥3 & hhv60_pos≥0.85,3
897595,660.97,73.599,43.812,-0.1489,-0.26,1.095,-0.1966,-0.1146,False,1.8995,1.2273,breadth≥55 & rsi6≤60 & range_contract≤1.2,3
35258,25.96,70.123,40.425,-0.149,-0.608,1.325,-0.6501,0.2199,False,2.6219,1.5377,clv≥0.95 & pct_chg≥0 & vol_ratio≥1.5,3
706469,520.23,75.141,42.331,-0.149,-0.3663,1.187,-0.274,-0.0691,False,2.2204,1.3652,pct_chg≥0 & ma20_bias≥0 & breadth≥55,3
63572,46.81,71.341,38.998,-0.149,-0.3725,1.259,-0.2123,-0.1084,False,1.4977,0.9524,atr_pct≤2.5 & ma20_bias≥3 & hhv60_pos≥0.95,3
243775,179.51,79.55,47.287,-0.1492,-0.26,1.021,-0.2883,-0.0448,False,3.1184,2.3303,vol_ratio≥1 & atr_pct≥5 & rsi6≤60,3
109493,80.63,73.473,44.375,-0.1492,-0.26,1.081,-0.255,-0.0701,False,1.9822,1.2671,vol_ratio≥1 & rsi6≤60 & range_contract≤0.8,3
289322,213.05,77.958,42.958,-0.1493,-0.3241,1.14,-0.2686,-0.0714,False,2.1008,1.4218,ma20_bias≥3 & turnover≤8 & range_contract≤0.8,3
88910,65.47,71.74,39.657,-0.1494,-0.4798,1.338,-0.5298,0.1182,False,2.3212,1.2397,clv≥0.85 & hhv60_pos≥0.95 & breadth≥45,3
672519,495.23,73.505,43.342,-0.1494,-0.26,1.104,-0.2091,-0.1091,False,1.8181,1.1848,breadth≥55 & turnover≤8 & range_contract≤0.8,3
173329,127.64,72.44,42.297,-0.1497,-0.348,1.167,-0.3558,-0.0353,False,1.9655,1.25,clv≥0.95 & breadth≥45 & turnover≤8,3
201970,148.73,74.071,43.414,-0.1497,-0.26,1.117,-0.2493,-0.0791,False,1.9876,1.2618,pct_chg≤7 & vol_ratio≥1 & range_contract≤0.8,3
224598,165.39,66.871,40.185,-0.1497,-0.26,1.153,-0.1995,-0.1206,False,1.2593,0.8197,atr_pct≤2.5 & ma20_bias≥0 & breadth≥45,3
91189,67.15,70.119,38.836,-0.1499,-0.4651,1.354,-0.4862,0.0796,False,2.0185,1.0885,clv≥0.85 & atr_pct≤4.5 & hhv60_pos≥0.95,3
184405,135.79,73.827,39.467,-0.1499,-0.4289,1.294,-0.3032,-0.0385,False,1.8739,1.1432,atr_pct≤3.5 & ma20_bias≥3 & hhv60_pos≥0.95,3
31343,23.08,68.038,38.439,-0.15,-0.4852,1.38,-0.5488,0.0962,False,1.9737,1.0279,clv≥0.95 & atr_pct≤4.5 & hhv60_pos≥0.95,3
1235887,910.08,74.252,43.204,-0.1502,-0.26,1.12,-0.2105,-0.1083,False,1.9242,1.2422,breadth≥55 & turnover≤15 & range_contract≤1.2,3
542245,399.3,72.306,41.074,-0.1503,-0.3431,1.198,-0.249,-0.0738,False,1.7408,1.0893,vol_ratio≥1 & atr_pct≤3.5 & ma20_bias≥0,3
795544,585.82,71.376,42.036,-0.1505,-0.26,1.129,-0.1932,-0.122,False,1.5678,1.0244,atr_pct≤4.5 & breadth≥55 & range_contract≤1.2,3
137356,101.15,75.813,40.308,-0.1506,-0.5559,1.315,-0.4098,0.1179,False,2.5825,1.588,pct_chg≥2 & hhv60_pos≥0.95 & turnover≤8,3
386089,284.31,73.856,40.269,-0.1507,-0.3995,1.24,-0.261,-0.0666,False,1.7874,1.1401,atr_pct≤3.5 & ma20_bias≥3 & turnover≤8,3
30348,22.35,68.713,40.23,-0.1508,-0.3614,1.219,-0.2565,-0.1182,False,1.6021,0.9393,atr_pct≤2.5 & breadth≥45 & turnover≥3,3
117897,86.82,70.634,39.378,-0.1509,-0.3629,1.235,-0.195,-0.1206,False,1.477,0.9466,atr_pct≤2.5 & ma20_bias≥3 & turnover≤15,3
493271,363.23,73.09,42.138,-0.151,-0.3693,1.183,-0.3337,-0.0341,False,2.0792,1.2941,clv≥0.85 & pct_chg≥0 & breadth≥45,3
74216,54.65,71.625,43.419,-0.1512,-0.26,1.086,-0.2007,-0.112,False,1.646,1.1331,pct_chg≥2 & atr_pct≤3.5 & rsi6≤60,3
52000,38.29,72.083,38.733,-0.1515,-0.5795,1.376,-0.5641,0.0975,False,2.1848,1.306,clv≥0.95 & atr_pct≤4.5 & ma20_bias≥3,3
833553,613.81,73.692,42.965,-0.1517,-0.26,1.129,-0.2246,-0.1052,False,1.9407,1.248,clv≥0.5 & breadth≥55 & range_contract≤1.2,3
407393,299.99,74.4,44.176,-0.1518,-0.26,1.098,-0.2063,-0.1087,False,2.1107,1.3675,vol_ratio≥1 & breadth≥45 & rsi6≤60,3
73557,54.17,67.892,39.079,-0.1519,-0.3992,1.279,-0.2443,-0.0703,False,1.575,0.945,pct_chg≥0 & vol_ratio≥1.5 & atr_pct≤2.5,3
693200,510.46,73.598,43.493,-0.152,-0.26,1.101,-0.2137,-0.1109,False,1.874,1.2091,breadth≥55 & rsi6≤75 & range_contract≤0.8,3
